BioSample,LibraryName,Run,fq1,fq2
L1144,EK7.12,L1144_FKDN230346658-1A_HWC35DSX5_L4,/ocean/projects/bio230049p/shared/rawData/L1144/L1144_FKDN230346658-1A_HWC35DSX5_L4_1.fq.gz,/ocean/projects/bio230049p/shared/rawData/L1144/L1144_FKDN230346658-1A_HWC35DSX5_L4_2.fq.gz
L1143,EK7.12,L1143_FKDN230168066-1A_HNCVHDSX5_L2,/ocean/projects/bio230049p/shared/rawData/L1143/L1143_FKDN230168066-1A_HNCVHDSX5_L2_1.fq.gz,/ocean/projects/bio230049p/shared/rawData/L1143/L1143_FKDN230168066-1A_HNCVHDSX5_L2_2.fq.gz
